id_lectura,estacion,presion,unidad,temporada
LEC-0084,Est. Montaña,29.48,inHg,Verano
LEC-0085,Est. Manglar,1001.03,hPa,Canícula
LEC-0086,Est. Meseta,1008.69,hPa,Transición Otoño-Invierno
LEC-0087,Est. Montaña,30.53,inHg,Verano

LEC-0089,Est. Altiplano
LEC-0090,Est. Costa,1023.59,hPa,Transición Otoño-Invierno
LEC-0091,Est. Oriente,1006.39,hPa,Temporada de lluvias
LEC-0092,Est. Península,979.96,hPa,Canícula
LEC-0093,Est. Costa,30.73,inHg,Transición Primavera-Verano
LEC-0094,Est. Montaña,987.53,hPa,Otoño
LEC-0095,Est. Cañón,28.81,K,Canícula
LEC-0096,Est. Península,989.35,hPa,Invierno
LEC-0097,Est. Río,28.55,inHg,Transición Otoño-Invierno
LEC-0098,Est. Volcán,977.68,hPa,Canícula
LEC-0099,Est. Río,30.18,inHg,Canícula
LEC-0100,Est. Volcán,991.38,hPa,Temporada de lluvias
LEC-0101,Est. Centro,1015.36,hPa,Transición Primavera-Verano
LEC-0102,Est. Oriente,28.52,inHg,Temporada de lluvias,dato_extra,28
LEC-0103,Est. Laguna,996.16,hPa,Temporada de lluvias
LEC-0104,Est. Valle,1026.49,hPa,Transición Primavera-Verano
LEC-0105,Est. Valle,30.47,inHg,Invierno
LEC-0106,Est. Valle,--,inHg,Transición Otoño-Invierno
LEC-0107,Est. Selva,29.51,inHg,Transición Primavera-Verano
LEC-0108,Est. Poniente,28.91,inHg,Verano
LEC-0109,Est. Bosque,29.81,inHg,Primavera
LEC-0110,Est. Istmo,29.91,inHg,Otoño
LEC-0111,Est. Bahía,988.69,hPa,Canícula
LEC-0112,Est. Selva,1039.35,hPa,Invierno
LEC-0113,Est. Norte,1035.56,hPa,Primavera
LEC-0114,Est. Sierra,1029.27,hPa,Transición Primavera-Verano
LEC-0115,Est. Sur,28.72,inHg,Verano,dato_extra,93
LEC-0116,Est. Península,988.21,hPa,Otoño

LEC-0118,Est. Costa,null,inHg,Primavera
LEC-0119,Est. Norte,1003.08,hPa,Otoño
LEC-0120,Est. Selva,985.83,hPa,Transición Primavera-Verano
LEC-0121,Est. Desierto,966.62,hPa,Transición Otoño-Invierno
LEC-0122,Est. Sierra,1049.66,hPa,Otoño
LEC-0123,Est. Selva,997.57,hPa,Transición Otoño-Invierno
LEC-0124,Est. Bosque,976.84,hPa,Transición Otoño-Invierno
LEC-0125,Est. Desierto,1024.48,hPa,Primavera
LEC-0126,Est. Oriente,29.43,inHg,Invierno
LEC-0127,Est. Altiplano,28.56,inHg,Transición Otoño-Invierno
LEC-0128,Est. Río,30.0,inHg,Invierno
LEC-0129,Est. Laguna,1039.14,hPa,Primavera
LEC-0130,Est. Istmo,999.39,hPa,Canícula
LEC-0131,Est. Sierra,30.24,inHg,Otoño
LEC-0132,Est. Volcán,30.52,inHg,Otoño
LEC-0133,Est. Selva,984.96,hPa,Invierno
LEC-0134,Est. Cañón,28.95,inHg,Verano
LEC-0135,Est. Bosque,29.69,inHg,Canícula
LEC-0136,Est. Río,1044.56,hPa,Invierno
LEC-0137,Est. Valle,29.79,inHg,Otoño
LEC-0138,Est. Norte,30.32,inHg,Transición Primavera-Verano
LEC-0139,Est. Planicie,1015.98,hPa,Verano
LEC-0140,Est. Istmo,991.22,hPa,Transición Otoño-Invierno
LEC-0141,Est. Montaña,976.0,hPa,Primavera
LEC-0142,Est. Costa,1016.81,hPa,Primavera
LEC-0143,Est. Bahía,1038.11,hPa,Primavera
LEC-0144,Est. Meseta,999.54,hPa,Transición Otoño-Invierno
LEC-0145,Est. Bosque,,hPa,Temporada de lluvias
LEC-0146,Est. Manglar,29.05,inHg,Transición Otoño-Invierno
LEC-0147,Est. Planicie,29.69,inHg,Primavera
LEC-0148,Est. Bosque,1040.78,hPa,Transición Otoño-Invierno
LEC-0149,Est. Planicie,29.41,inHg,Primavera
LEC-0150,Est. Valle,29.7,inHg,Canícula
LEC-0151,Est. Volcán,29.74,inHg,Canícula
LEC-0152,Est. Río,965.95,hPa,Verano
LEC-0153,Est. Desierto,967.43,hPa,Temporada de lluvias
LEC-0154,Est. Pradera,988.48,hPa,Otoño
LEC-0155,Est. Península,1048.74,hPa,Transición Otoño-Invierno
LEC-0156,Est. Altiplano,28.67,K,Invierno
LEC-0157,Est. Volcán,29.52,inHg,Transición Primavera-Verano
LEC-0158,Est. Selva,976.03,hPa,Primavera
LEC-0159,Est. Norte,30.01,inHg,Otoño
LEC-0160,Est. Volcán,28.55,inHg,Otoño
LEC-0161,Est. Laguna,28.6,inHg,Verano
LEC-0162,Est. Sur,973.55,hPa,Transición Primavera-Verano
LEC-0163,Est. Pradera,1019.61,hPa,Otoño
LEC-0164,Est. Laguna,1041.57,hPa,Transición Otoño-Invierno
LEC-0165,Est. Desierto,28.74,inHg,Invierno
LEC-0166,Est. Sur,1048.03,hPa,Canícula
LEC-0167,Est. Meseta,1023.91,hPa,Primavera
LEC-0168,Est. Costa,30.53,inHg,Invierno
LEC-0169,Est. Istmo,30.08,inHg,Otoño
LEC-0170,Est. Península,29.77,inHg,Transición Primavera-Verano
LEC-0171,Est. Norte,29.31,inHg,Primavera
LEC-0172,Est. Costa,1008.47,hPa,Otoño
LEC-0173,Est. Bahía,1034.28,hPa,Temporada de lluvias
LEC-0174,Est. Istmo,971.01,hPa,Canícula
LEC-0175,Est. Costa,29.9,inHg,Transición Primavera-Verano
LEC-0176,Est. Sur,29.69,inHg,Primavera
LEC-0177,Est. Centro,1016.08,hPa,Verano
LEC-0178,Est. Bosque,970.13,hPa,Transición Primavera-Verano
LEC-0179,Est. Poniente,972.67,hPa,Invierno
LEC-0180,Est. Bahía,1036.75,hPa,Invierno
LEC-0181,Est. Oriente,30.4,inHg,Primavera
LEC-0182,Est. Planicie,1030.53,hPa,Invierno
LEC-0183,Est. Península,30.35,inHg,Canícula
LEC-0184,Est. Istmo,30.17,inHg,Transición Otoño-Invierno
LEC-0185,Est. Oriente,1027.11,hPa,Primavera
LEC-0186,Est. Laguna,29.73,inHg,Invierno
LEC-0187,Est. Planicie,30.2,inHg,Invierno
LEC-0188,Est. Valle,1038.31,hPa,Transición Primavera-Verano
LEC-0189,Est. Río,30.88,inHg,Transición Otoño-Invierno
LEC-0190,Est. Planicie,1047.13,hPa,Verano
LEC-0191,Est. Altiplano,28.8,inHg,Invierno
LEC-0192,Est. Desierto,970.39,hPa,Temporada de lluvias
LEC-0193,Est. Altiplano,30.71,inHg,Invierno
LEC-0194,Est. Valle,30.86,inHg,Invierno
LEC-0195,Est. Istmo,1029.4,hPa,Temporada de lluvias
LEC-0196,Est. Sur,29.51,inHg,Verano
LEC-0197,Est. Valle,1035.75,hPa,Temporada de lluvias
LEC-0198,Est. Montaña,29.82,inHg,Canícula
LEC-0199,Est. Cañón,969.2,X,Transición Otoño-Invierno
LEC-0200,Est. Sierra,993.28,hPa,Transición Primavera-Verano
LEC-0201,Est. Altiplano,29.29,inHg,Invierno
LEC-0202,Est. Cañón,29.46,inHg,Temporada de lluvias
LEC-0203,Est. Planicie,1025.36,hPa,Transición Primavera-Verano
LEC-0204,Est. Pradera,29.16,inHg,Canícula
LEC-0205,Est. Oriente,28.73,inHg,Verano
LEC-0206,Est. Bahía,30.44,inHg,Transición Otoño-Invierno
LEC-0207,Est. Desierto,30.28,inHg,Transición Otoño-Invierno
LEC-0208,Est. Centro,1013.13,hPa,Otoño
LEC-0209,Est. Volcán,1014.29,hPa,Otoño
LEC-0210,Est. Bosque,988.4,hPa,Primavera

LEC-0212,Est. Valle,29.65,inHg,Invierno
LEC-0213,Est. Selva,30.57,inHg,Canícula
LEC-0214,Est. Selva,1018.49,hPa,Canícula
LEC-0215,Est. Cañón,1022.29,hPa,Verano
LEC-0216,Est. Poniente,976.95,hPa,Otoño
LEC-0217,Est. Pradera,29.01,inHg,Transición Otoño-Invierno
LEC-0218,Est. Norte,967.54,hPa,Verano
LEC-0219,Est. Manglar,988.66,hPa,Temporada de lluvias
LEC-0220,Est. Pradera,29.03,inHg,Otoño
LEC-0221,Est. Península,29.95,inHg,Invierno
LEC-0222,Est. Río,1033.21,hPa,Canícula
LEC-0223,Est. Selva,30.42,inHg,Otoño
LEC-0224,Est. Península,29.84,inHg,Invierno
LEC-0225,Est. Laguna,1002.62,hPa,Otoño
LEC-0226,Est. Norte,29.95,inHg,Canícula
LEC-0227,Est. Sierra,29.56,inHg,Verano
LEC-0228,Est. Pradera,30.25,inHg,Otoño
LEC-0229,Est. Istmo,1035.08,hPa,Primavera
LEC-0230,Est. Selva,1010.12,hPa,Transición Otoño-Invierno
LEC-0231,Est. Manglar,1018.91,hPa,Primavera
LEC-0232,Est. Pradera,29.92,inHg,Primavera
LEC-0233,Est. Río,1037.01,hPa,Invierno
LEC-0234,Est. Istmo,1021.31,hPa,Temporada de lluvias
LEC-0235,Est. Oriente,30.16,inHg,Transición Primavera-Verano
LEC-0236,Est. Centro,1041.52,hPa,Transición Primavera-Verano
LEC-0237,Est. Centro,30.16,inHg,Temporada de lluvias
LEC-0238,Est. Sur,1046.49,hPa,Canícula
LEC-0239,Est. Istmo,30.58,inHg,Verano
LEC-0240,Est. Meseta,29.65,inHg,Invierno
LEC-0241,Est. Laguna,error,inHg,Transición Primavera-Verano
LEC-0242,Est. Cañón,29.24,inHg,Transición Otoño-Invierno
LEC-0243,Est. Laguna,1025.07,hPa,Temporada de lluvias
LEC-0244,Est. Planicie,30.97,inHg,Transición Primavera-Verano
LEC-0245,Est. Centro,997.07,hPa,Transición Primavera-Verano
LEC-0246,Est. Oriente,30.02,inHg,Otoño
LEC-0247,Est. Pradera,29.7,inHg,Verano
LEC-0248,Est. Planicie,29.06,inHg,Invierno
LEC-0249,Est. Bahía,28.92,inHg,Primavera
LEC-0250,Est. Costa,28.8,inHg,Otoño
LEC-0251,Est. Desierto,973.08,hPa,Verano
LEC-0252,Est. Río,29.02,inHg,Primavera
LEC-0253,Est. Río,29.22,inHg,Otoño
LEC-0254,Est. Selva,1043.3,hPa,Transición Primavera-Verano
LEC-0255,Est. Pradera,1024.71,hPa,Temporada de lluvias
LEC-0256,Est. Laguna,29.0,inHg,Transición Otoño-Invierno
LEC-0257,Est. Costa,993.74,hPa,Primavera
LEC-0258,Est. Altiplano,976.26,hPa,Otoño
LEC-0259,Est. Oriente,1000.81,hPa,Verano
LEC-0260,Est. Bosque,965.3,hPa,Canícula
LEC-0261,Est. Desierto,30.43,inHg,Otoño
LEC-0262,Est. Selva,29.59,inHg,Temporada de lluvias
LEC-0263,Est. Sur,30.04,inHg,Temporada de lluvias
LEC-0264,Est. Planicie,969.76,hPa,Verano
LEC-0265,Est. Río,1038.18,hPa,Primavera
LEC-0266,Est. Manglar,1036.22,hPa,Otoño
LEC-0267,Est. Valle,986.44,hPa,Transición Otoño-Invierno
LEC-0268,Est. Volcán,976.7,hPa,Transición Primavera-Verano
LEC-0269,Est. Valle,1045.61,hPa,Invierno
LEC-0270,Est. Sur,1040.3,hPa,Transición Otoño-Invierno
LEC-0271,Est. Desierto,1005.87,hPa,Transición Primavera-Verano
LEC-0272,Est. Pradera,983.09,hPa,Transición Primavera-Verano
LEC-0273,Est. Cañón,1011.52,?,Transición Primavera-Verano
LEC-0274,Est. Norte,29.64,inHg,Canícula
LEC-0275,Est. Norte,966.25,hPa,Canícula
LEC-0276,Est. Costa,29.14,inHg,Transición Otoño-Invierno

LEC-0278,Est. Selva,30.01,inHg,Transición Primavera-Verano
LEC-0279,Est. Bahía,28.59,inHg,Transición Otoño-Invierno
LEC-0280,Est. Meseta,28.96,inHg,Temporada de lluvias
LEC-0281,Est. Planicie,1031.3,hPa,Otoño
LEC-0282,Est. Bosque,29.3,inHg,Canícula
LEC-0283,Est. Selva,1000.71,hPa,Canícula,dato_extra,7
LEC-0284,Est. Centro,1033.77,hPa,Otoño
LEC-0285,Est. Valle,28.71,inHg,Otoño

LEC-0287,Est. Río,966.82,hPa,Canícula
LEC-0288,Est. Altiplano,979.61,hPa,Transición Otoño-Invierno
LEC-0289,Est. Península,970.78,hPa,Verano
LEC-0290,Est. Montaña,28.75,inHg,Otoño
LEC-0291,Est. Meseta,991.94,hPa,Transición Primavera-Verano,dato_extra,16
LEC-0292,Est. Valle,981.24,hPa,Canícula
LEC-0293,Est. Istmo,30.26,inHg,Primavera
LEC-0294,Est. Montaña,1037.93,hPa,Verano
LEC-0295,Est. Laguna,29.34,inHg,Transición Otoño-Invierno
LEC-0296,Est. Planicie,991.05,hPa,Invierno
LEC-0297,Est. Laguna,28.81,inHg,Temporada de lluvias
LEC-0298,Est. Manglar,966.23,hPa,Invierno
LEC-0299,Est. Centro,989.83,hPa,Otoño
LEC-0300,Est. Istmo,29.68,inHg,Transición Primavera-Verano
LEC-0301,Est. Istmo,29.38,inHg,Verano
LEC-0302,Est. Pradera,1048.6,hPa,Canícula,dato_extra,78
LEC-0303,Est. Planicie,1033.65,hPa,Transición Primavera-Verano
LEC-0304,Est. Montaña,29.61,inHg,Otoño
LEC-0305,Est. Norte,1022.89,hPa,Transición Otoño-Invierno
LEC-0306,Est. Meseta,1015.01,hPa,Invierno
LEC-0307,Est. Istmo,965.71,hPa,Primavera
LEC-0308,Est. Manglar,28.99,inHg,Canícula
LEC-0309,Est. Pradera,30.07,inHg,Otoño
LEC-0310,Est. Costa,1011.85,hPa,Transición Otoño-Invierno
LEC-0311,Est. Oriente,29.54,inHg,Temporada de lluvias
LEC-0312,Est. Planicie,983.59,hPa,Primavera
LEC-0313,Est. Manglar,30.59,inHg,Primavera,dato_extra,21
LEC-0314,Est. Poniente,29.75,inHg,Canícula
LEC-0315,Est. Norte,30.88,inHg,Transición Otoño-Invierno
LEC-0316,Est. Bosque,29.09,inHg,Invierno
LEC-0317,Est. Meseta,977.92,hPa,Temporada de lluvias
LEC-0318,Est. Desierto,973.01,hPa,Verano
LEC-0319,Est. Bosque,1046.45,hPa,Otoño
LEC-0320,Est. Norte,984.93,hPa,Primavera
LEC-0321,Est. Istmo,1022.93,hPa,Transición Primavera-Verano
LEC-0322,Est. Meseta,1015.93,hPa,Verano
LEC-0323,Est. Bosque,966.88,hPa,Canícula
LEC-0324,Est. Poniente,29.81,inHg,Transición Primavera-Verano,dato_extra,45
LEC-0325,Est. Volcán,30.46,inHg,Verano
LEC-0326,Est. Planicie,30.95,inHg,Primavera
LEC-0327,Est. Península
LEC-0328,Est. Volcán,1007.05,hPa,Otoño
LEC-0329,Est. Desierto,28.97,inHg,Temporada de lluvias
LEC-0330,Est. Selva,1047.84,hPa,Canícula
LEC-0331,Est. Península,N/A,hPa,Primavera
LEC-0332,Est. Laguna,1044.86,hPa,Transición Otoño-Invierno
LEC-0333,Est. Manglar,28.64,inHg,Invierno
LEC-0334,Est. Altiplano,1005.98,hPa,Primavera
LEC-0335,Est. Bahía,1006.33,hPa,Canícula
LEC-0336,Est. Manglar,28.63,inHg,Otoño
LEC-0337,Est. Planicie,,inHg,Invierno
LEC-0338,Est. Valle,1014.83,hPa,Transición Otoño-Invierno
LEC-0339,Est. Planicie,1009.67,hPa,Temporada de lluvias
LEC-0340,Est. Istmo,30.25,inHg,Temporada de lluvias
LEC-0341,Est. Cañón,1015.17,hPa,Temporada de lluvias
LEC-0342,Est. Costa,1031.1,K,Invierno
LEC-0343,Est. Planicie,989.45,hPa,Temporada de lluvias,dato_extra,67
LEC-0344,Est. Selva,30.24,inHg,Invierno
LEC-0345,Est. Istmo,999.66,hPa,Canícula
LEC-0346,Est. Desierto,1040.28,hPa,Otoño
LEC-0347,Est. Bosque,29.8,inHg,Primavera
LEC-0348,Est. Bosque,976.42,hPa,Canícula
LEC-0349,Est. Río,28.92,inHg,Canícula
LEC-0350,Est. Sur,1015.3,hPa,Otoño
LEC-0351,Est. Cañón,30.15,inHg,Invierno
LEC-0352,Est. Volcán,30.34,inHg,Transición Primavera-Verano
LEC-0353,Est. Pradera,29.26,inHg,Primavera
LEC-0354,Est. Península,28.58,inHg,Transición Otoño-Invierno
LEC-0355,Est. Meseta,28.69,inHg,Primavera
LEC-0356,Est. Laguna,999.93,hPa,Transición Otoño-Invierno
LEC-0357,Est. Istmo,29.3,inHg,Verano
LEC-0358,Est. Laguna,1032.12,hPa,Invierno
LEC-0359,Est. Altiplano,29.12,inHg,Temporada de lluvias
LEC-0360,Est. Oriente,1026.86,hPa,Transición Primavera-Verano
LEC-0361,Est. Meseta,1031.87,hPa,Invierno
LEC-0362,Est. Volcán,965.98,hPa,Temporada de lluvias
LEC-0363,Est. Sur,1044.78,hPa,Invierno
LEC-0364,Est. Sur,29.8,inHg,Transición Otoño-Invierno
LEC-0365,Est. Península,30.0,inHg,Transición Otoño-Invierno
LEC-0366,Est. Río,28.82,inHg,Transición Primavera-Verano
LEC-0367,Est. Desierto,,hPa,Canícula
LEC-0368,Est. Norte,28.61,inHg,Temporada de lluvias
LEC-0369,Est. Manglar,1011.33,hPa,Transición Otoño-Invierno
LEC-0370,Est. Manglar,30.99,inHg,Invierno
LEC-0371,Est. Planicie,28.61,inHg,Transición Primavera-Verano
LEC-0372,Est. Planicie,30.18,inHg,Temporada de lluvias
LEC-0373,Est. Sur,1037.18,hPa,Transición Primavera-Verano
LEC-0374,Est. Sur,30.15,inHg,Primavera
LEC-0375,Est. Costa,30.22,inHg,Transición Primavera-Verano
LEC-0376,Est. Meseta,30.86,inHg,Transición Otoño-Invierno
LEC-0377,Est. Istmo,1004.31,hPa,Transición Otoño-Invierno
LEC-0378,Est. Desierto,966.05,hPa,Invierno
LEC-0379,Est. Norte,30.27,inHg,Otoño
LEC-0380,Est. Montaña,30.61,inHg,Canícula
LEC-0381,Est. Península,989.29,X,Primavera
LEC-0382,Est. Oriente,29.9,inHg,Verano
LEC-0383,Est. Istmo,29.29,inHg,Canícula
LEC-0384,Est. Planicie,29.19
LEC-0385,Est. Meseta,1016.68,hPa,Canícula
LEC-0386,Est. Manglar,29.6,inHg,Temporada de lluvias
LEC-0387,Est. Cañón,30.98,inHg,Temporada de lluvias
LEC-0388,Est. Costa,1029.68,hPa,Primavera
LEC-0389,Est. Río,28.57,inHg,Transición Otoño-Invierno
LEC-0390,Est. Altiplano,30.25,inHg,Otoño
LEC-0391,Est. Norte,29.41,inHg,Temporada de lluvias
LEC-0392,Est. Valle,28.75,inHg,Transición Primavera-Verano
LEC-0393,Est. Manglar,1025.39,hPa,Temporada de lluvias
LEC-0394,Est. Planicie,995.23,hPa,Verano
LEC-0395,Est. Montaña,29.07,inHg,Invierno
LEC-0396,Est. Manglar,1010.92,hPa,Verano,dato_extra,83
LEC-0397,Est. Istmo,968.18,hPa,Transición Otoño-Invierno
LEC-0398,Est. Península,1032.41,hPa,Transición Otoño-Invierno
LEC-0399,Est. Bahía,30.03,inHg,Primavera
LEC-0400,Est. Montaña,1048.91,hPa,Canícula
LEC-0401,Est. Istmo,29.72,inHg,Transición Primavera-Verano
LEC-0402,Est. Península,1048.63,hPa,Primavera
LEC-0403,Est. Centro,991.82,hPa,Temporada de lluvias
LEC-0404,Est. Bosque,1022.51,hPa,Canícula
LEC-0405,Est. Costa,N/A,hPa,Otoño
LEC-0406,Est. Bosque
LEC-0407,Est. Desierto,28.86,inHg,Primavera
LEC-0408,Est. Valle,29.03,inHg,Verano
LEC-0409,Est. Bahía,967.61,hPa,Temporada de lluvias
LEC-0410,Est. Laguna,1042.58,hPa,Primavera
LEC-0411,Est. Manglar,,hPa,Otoño
LEC-0412,Est. Centro,28.62,inHg,Transición Otoño-Invierno
LEC-0413,Est. Centro,30.62,inHg,Canícula
LEC-0414,Est. Poniente,1047.58,hPa,Transición Primavera-Verano
LEC-0415,Est. Laguna,30.77,inHg,Temporada de lluvias
LEC-0416,Est. Montaña,30.0,inHg,Otoño
LEC-0417,Est. Volcán,30.31,inHg,Transición Primavera-Verano
LEC-0418,Est. Pradera,1017.26,hPa,Primavera
LEC-0419,Est. Pradera,969.13,hPa,Primavera
LEC-0420,Est. Norte,30.7,inHg,Verano
LEC-0421,Est. Norte,1048.98,hPa,Temporada de lluvias
LEC-0422,Est. Altiplano,1036.35,hPa,Invierno
LEC-0423,Est. Altiplano,991.89,hPa,Temporada de lluvias,dato_extra,55

LEC-0425,Est. Costa,982.78,hPa,Canícula
LEC-0426,Est. Laguna,1006.72,hPa,Temporada de lluvias
LEC-0427,Est. Manglar,1041.43,hPa,Transición Otoño-Invierno
LEC-0428,Est. Selva,1041.91,hPa,Otoño
LEC-0429,Est. Norte,28.99,inHg,Canícula
LEC-0430,Est. Oriente,1031.7,hPa,Otoño
LEC-0431,Est. Pradera,980.68,hPa,Transición Otoño-Invierno
LEC-0432,Est. Oriente,29.53,inHg,Verano
LEC-0433,Est. Pradera,993.93,hPa,Transición Otoño-Invierno
LEC-0434,Est. Oriente,1023.2,hPa,Invierno
LEC-0435,Est. Manglar,30.79,inHg,Transición Primavera-Verano
LEC-0436,Est. Bosque,30.68,inHg,Temporada de lluvias
LEC-0437,Est. Norte,1032.77,hPa,Verano
LEC-0438,Est. Bahía,993.47,hPa,Canícula
LEC-0439,Est. Bosque,1010.39,hPa,Otoño
LEC-0440,Est. Poniente,29.63,inHg,Otoño
LEC-0441,Est. Pradera,29.96,inHg,Transición Primavera-Verano
LEC-0442,Est. Bosque,977.74,hPa,Verano
LEC-0443,Est. Volcán,1021.01,hPa,Transición Primavera-Verano
LEC-0444,Est. Desierto,29.19,inHg,Transición Otoño-Invierno
LEC-0445,Est. Desierto,985.44,hPa,Transición Otoño-Invierno
LEC-0446,Est. Montaña,29.92,inHg,Transición Otoño-Invierno
LEC-0447,Est. Altiplano,973.49,hPa,Invierno
LEC-0448,Est. Centro,29.79,inHg,Transición Otoño-Invierno
LEC-0449,Est. Manglar,29.24,inHg,Temporada de lluvias
LEC-0450,Est. Península,1014.08,hPa,Transición Primavera-Verano
LEC-0451,Est. Cañón,30.84,inHg,Canícula
LEC-0452,Est. Planicie,29.84,inHg,Canícula
LEC-0453,Est. Volcán,29.26,inHg,Canícula
LEC-0454,Est. Sur,30.82,inHg,Verano
LEC-0455,Est. Valle,29.71,inHg,Invierno
LEC-0456,Est. Poniente,1027.48,hPa,Transición Otoño-Invierno
LEC-0457,Est. Pradera,29.91,inHg,Canícula
LEC-0458,Est. Cañón,1016.32,hPa,Otoño
LEC-0459,Est. Meseta,29.06,inHg,Otoño
LEC-0460,Est. Bahía,30.17,inHg,Verano
LEC-0461,Est. Pradera,29.79,inHg,Transición Otoño-Invierno
LEC-0462,Est. Centro,1038.64,hPa,Primavera
LEC-0463,Est. Laguna,987.07,hPa,Invierno
LEC-0464,Est. Sierra,30.82,inHg,Invierno
