id_lectura,estacion,temporada,presion_hpa,nivel_presion
LEC-0094,Est. Montaña,Otoño,987.5,Muy baja
LEC-0096,Est. Península,Invierno,989.4,Muy baja
LEC-0097,Est. Río,Transición Otoño-Invierno,966.8,Muy baja
LEC-0098,Est. Volcán,Canícula,977.7,Muy baja
LEC-0099,Est. Río,Canícula,1022.0,Alta
LEC-0100,Est. Volcán,Temporada de lluvias,991.4,Muy baja
LEC-0101,Est. Centro,Transición Primavera-Verano,1015.4,Normal
LEC-0103,Est. Laguna,Temporada de lluvias,996.2,Muy baja
LEC-0104,Est. Valle,Transición Primavera-Verano,1026.5,Alta
LEC-0105,Est. Valle,Invierno,1031.8,Alta
LEC-0107,Est. Selva,Transición Primavera-Verano,999.3,Baja
LEC-0108,Est. Poniente,Verano,979.0,Muy baja
LEC-0109,Est. Bosque,Primavera,1009.5,Baja
LEC-0110,Est. Istmo,Otoño,1012.9,Normal
LEC-0111,Est. Bahía,Canícula,988.7,Muy baja
LEC-0112,Est. Selva,Invierno,1039.3,Muy alta
LEC-0113,Est. Norte,Primavera,1035.6,Muy alta
LEC-0114,Est. Sierra,Transición Primavera-Verano,1029.3,Alta
LEC-0116,Est. Península,Otoño,988.2,Muy baja
LEC-0119,Est. Norte,Otoño,1003.1,Baja
LEC-0120,Est. Selva,Transición Primavera-Verano,985.8,Muy baja
LEC-0121,Est. Desierto,Transición Otoño-Invierno,966.6,Muy baja
LEC-0122,Est. Sierra,Otoño,1049.7,Muy alta
LEC-0123,Est. Selva,Transición Otoño-Invierno,997.6,Baja
LEC-0124,Est. Bosque,Transición Otoño-Invierno,976.8,Muy baja
LEC-0125,Est. Desierto,Primavera,1024.5,Alta
LEC-0126,Est. Oriente,Invierno,996.6,Muy baja
LEC-0127,Est. Altiplano,Transición Otoño-Invierno,967.2,Muy baja
LEC-0128,Est. Río,Invierno,1015.9,Normal
LEC-0129,Est. Laguna,Primavera,1039.1,Muy alta
LEC-0130,Est. Istmo,Canícula,999.4,Baja
LEC-0131,Est. Sierra,Otoño,1024.0,Alta
LEC-0132,Est. Volcán,Otoño,1033.5,Muy alta
LEC-0133,Est. Selva,Invierno,985.0,Muy baja
LEC-0134,Est. Cañón,Verano,980.4,Muy baja
LEC-0135,Est. Bosque,Canícula,1005.4,Baja
LEC-0136,Est. Río,Invierno,1044.6,Muy alta
LEC-0137,Est. Valle,Otoño,1008.8,Baja
LEC-0138,Est. Norte,Transición Primavera-Verano,1026.8,Alta
LEC-0139,Est. Planicie,Verano,1016.0,Normal
LEC-0140,Est. Istmo,Transición Otoño-Invierno,991.2,Muy baja
LEC-0141,Est. Montaña,Primavera,976.0,Muy baja
LEC-0142,Est. Costa,Primavera,1016.8,Normal
LEC-0143,Est. Bahía,Primavera,1038.1,Muy alta
LEC-0144,Est. Meseta,Transición Otoño-Invierno,999.5,Baja
LEC-0146,Est. Manglar,Transición Otoño-Invierno,983.7,Muy baja
LEC-0147,Est. Planicie,Primavera,1005.4,Baja
LEC-0148,Est. Bosque,Transición Otoño-Invierno,1040.8,Muy alta
LEC-0149,Est. Planicie,Primavera,995.9,Muy baja
LEC-0150,Est. Valle,Canícula,1005.8,Baja
LEC-0151,Est. Volcán,Canícula,1007.1,Baja
LEC-0152,Est. Río,Verano,966.0,Muy baja
LEC-0153,Est. Desierto,Temporada de lluvias,967.4,Muy baja
LEC-0154,Est. Pradera,Otoño,988.5,Muy baja
LEC-0155,Est. Península,Transición Otoño-Invierno,1048.7,Muy alta
LEC-0157,Est. Volcán,Transición Primavera-Verano,999.7,Baja
LEC-0158,Est. Selva,Primavera,976.0,Muy baja
LEC-0159,Est. Norte,Otoño,1016.3,Normal
LEC-0160,Est. Volcán,Otoño,966.8,Muy baja
LEC-0161,Est. Laguna,Verano,968.5,Muy baja
LEC-0162,Est. Sur,Transición Primavera-Verano,973.5,Muy baja
LEC-0163,Est. Pradera,Otoño,1019.6,Normal
LEC-0164,Est. Laguna,Transición Otoño-Invierno,1041.6,Muy alta
LEC-0165,Est. Desierto,Invierno,973.2,Muy baja
LEC-0166,Est. Sur,Canícula,1048.0,Muy alta
LEC-0167,Est. Meseta,Primavera,1023.9,Alta
LEC-0168,Est. Costa,Invierno,1033.9,Muy alta
LEC-0169,Est. Istmo,Otoño,1018.6,Normal
LEC-0170,Est. Península,Transición Primavera-Verano,1008.1,Baja
LEC-0171,Est. Norte,Primavera,992.6,Muy baja
LEC-0172,Est. Costa,Otoño,1008.5,Baja
LEC-0173,Est. Bahía,Temporada de lluvias,1034.3,Muy alta
LEC-0174,Est. Istmo,Canícula,971.0,Muy baja
LEC-0175,Est. Costa,Transición Primavera-Verano,1012.5,Normal
LEC-0176,Est. Sur,Primavera,1005.4,Baja
LEC-0177,Est. Centro,Verano,1016.1,Normal
LEC-0178,Est. Bosque,Transición Primavera-Verano,970.1,Muy baja
LEC-0179,Est. Poniente,Invierno,972.7,Muy baja
LEC-0180,Est. Bahía,Invierno,1036.8,Muy alta
LEC-0181,Est. Oriente,Primavera,1029.5,Alta
LEC-0182,Est. Planicie,Invierno,1030.5,Alta
LEC-0183,Est. Península,Canícula,1027.8,Alta
LEC-0184,Est. Istmo,Transición Otoño-Invierno,1021.7,Alta
LEC-0185,Est. Oriente,Primavera,1027.1,Alta
LEC-0186,Est. Laguna,Invierno,1006.8,Baja
LEC-0187,Est. Planicie,Invierno,1022.7,Alta
LEC-0188,Est. Valle,Transición Primavera-Verano,1038.3,Muy alta
LEC-0189,Est. Río,Transición Otoño-Invierno,1045.7,Muy alta
LEC-0190,Est. Planicie,Verano,1047.1,Muy alta
LEC-0191,Est. Altiplano,Invierno,975.3,Muy baja
LEC-0192,Est. Desierto,Temporada de lluvias,970.4,Muy baja
LEC-0193,Est. Altiplano,Invierno,1040.0,Muy alta
LEC-0194,Est. Valle,Invierno,1045.0,Muy alta
LEC-0195,Est. Istmo,Temporada de lluvias,1029.4,Alta
LEC-0196,Est. Sur,Verano,999.3,Baja
LEC-0197,Est. Valle,Temporada de lluvias,1035.8,Muy alta
LEC-0198,Est. Montaña,Canícula,1009.8,Baja
LEC-0200,Est. Sierra,Transición Primavera-Verano,993.3,Muy baja
LEC-0201,Est. Altiplano,Invierno,991.9,Muy baja
LEC-0202,Est. Cañón,Temporada de lluvias,997.6,Baja
LEC-0203,Est. Planicie,Transición Primavera-Verano,1025.4,Alta
LEC-0204,Est. Pradera,Canícula,987.5,Muy baja
LEC-0205,Est. Oriente,Verano,972.9,Muy baja
LEC-0206,Est. Bahía,Transición Otoño-Invierno,1030.8,Alta
LEC-0207,Est. Desierto,Transición Otoño-Invierno,1025.4,Alta
LEC-0208,Est. Centro,Otoño,1013.1,Normal
LEC-0209,Est. Volcán,Otoño,1014.3,Normal
LEC-0210,Est. Bosque,Primavera,988.4,Muy baja
LEC-0212,Est. Valle,Invierno,1004.1,Baja
LEC-0213,Est. Selva,Canícula,1035.2,Muy alta
LEC-0214,Est. Selva,Canícula,1018.5,Normal
LEC-0215,Est. Cañón,Verano,1022.3,Alta
LEC-0216,Est. Poniente,Otoño,977.0,Muy baja
LEC-0217,Est. Pradera,Transición Otoño-Invierno,982.4,Muy baja
LEC-0218,Est. Norte,Verano,967.5,Muy baja
LEC-0219,Est. Manglar,Temporada de lluvias,988.7,Muy baja
LEC-0220,Est. Pradera,Otoño,983.1,Muy baja
LEC-0221,Est. Península,Invierno,1014.2,Normal
LEC-0222,Est. Río,Canícula,1033.2,Muy alta
LEC-0223,Est. Selva,Otoño,1030.1,Alta
LEC-0224,Est. Península,Invierno,1010.5,Normal
LEC-0225,Est. Laguna,Otoño,1002.6,Baja
LEC-0226,Est. Norte,Canícula,1014.2,Normal
LEC-0227,Est. Sierra,Verano,1001.0,Baja
LEC-0228,Est. Pradera,Otoño,1024.4,Alta
LEC-0229,Est. Istmo,Primavera,1035.1,Muy alta
LEC-0230,Est. Selva,Transición Otoño-Invierno,1010.1,Baja
LEC-0231,Est. Manglar,Primavera,1018.9,Normal
LEC-0232,Est. Pradera,Primavera,1013.2,Normal
LEC-0233,Est. Río,Invierno,1037.0,Muy alta
LEC-0234,Est. Istmo,Temporada de lluvias,1021.3,Alta
LEC-0235,Est. Oriente,Transición Primavera-Verano,1021.3,Alta
LEC-0236,Est. Centro,Transición Primavera-Verano,1041.5,Muy alta
LEC-0237,Est. Centro,Temporada de lluvias,1021.3,Alta
LEC-0238,Est. Sur,Canícula,1046.5,Muy alta
LEC-0239,Est. Istmo,Verano,1035.6,Muy alta
LEC-0240,Est. Meseta,Invierno,1004.1,Baja
LEC-0242,Est. Cañón,Transición Otoño-Invierno,990.2,Muy baja
LEC-0243,Est. Laguna,Temporada de lluvias,1025.1,Alta
LEC-0244,Est. Planicie,Transición Primavera-Verano,1048.8,Muy alta
LEC-0245,Est. Centro,Transición Primavera-Verano,997.1,Muy baja
LEC-0246,Est. Oriente,Otoño,1016.6,Normal
LEC-0247,Est. Pradera,Verano,1005.8,Baja
LEC-0248,Est. Planicie,Invierno,984.1,Muy baja
LEC-0249,Est. Bahía,Primavera,979.3,Muy baja
LEC-0250,Est. Costa,Otoño,975.3,Muy baja
LEC-0251,Est. Desierto,Verano,973.1,Muy baja
LEC-0252,Est. Río,Primavera,982.7,Muy baja
LEC-0253,Est. Río,Otoño,989.5,Muy baja
LEC-0254,Est. Selva,Transición Primavera-Verano,1043.3,Muy alta
LEC-0255,Est. Pradera,Temporada de lluvias,1024.7,Alta
LEC-0256,Est. Laguna,Transición Otoño-Invierno,982.1,Muy baja
LEC-0257,Est. Costa,Primavera,993.7,Muy baja
LEC-0258,Est. Altiplano,Otoño,976.3,Muy baja
LEC-0259,Est. Oriente,Verano,1000.8,Baja
LEC-0260,Est. Bosque,Canícula,965.3,Muy baja
LEC-0261,Est. Desierto,Otoño,1030.5,Alta
LEC-0262,Est. Selva,Temporada de lluvias,1002.0,Baja
LEC-0263,Est. Sur,Temporada de lluvias,1017.3,Normal
LEC-0264,Est. Planicie,Verano,969.8,Muy baja
LEC-0265,Est. Río,Primavera,1038.2,Muy alta
LEC-0266,Est. Manglar,Otoño,1036.2,Muy alta
LEC-0267,Est. Valle,Transición Otoño-Invierno,986.4,Muy baja
LEC-0268,Est. Volcán,Transición Primavera-Verano,976.7,Muy baja
LEC-0269,Est. Valle,Invierno,1045.6,Muy alta
LEC-0270,Est. Sur,Transición Otoño-Invierno,1040.3,Muy alta
LEC-0271,Est. Desierto,Transición Primavera-Verano,1005.9,Baja
LEC-0272,Est. Pradera,Transición Primavera-Verano,983.1,Muy baja
LEC-0274,Est. Norte,Canícula,1003.7,Baja
LEC-0275,Est. Norte,Canícula,966.2,Muy baja
LEC-0276,Est. Costa,Transición Otoño-Invierno,986.8,Muy baja
LEC-0278,Est. Selva,Transición Primavera-Verano,1016.3,Normal
LEC-0279,Est. Bahía,Transición Otoño-Invierno,968.2,Muy baja
LEC-0280,Est. Meseta,Temporada de lluvias,980.7,Muy baja
LEC-0281,Est. Planicie,Otoño,1031.3,Alta
LEC-0282,Est. Bosque,Canícula,992.2,Muy baja
LEC-0284,Est. Centro,Otoño,1033.8,Muy alta
LEC-0285,Est. Valle,Otoño,972.2,Muy baja
LEC-0287,Est. Río,Canícula,966.8,Muy baja
LEC-0288,Est. Altiplano,Transición Otoño-Invierno,979.6,Muy baja
LEC-0289,Est. Península,Verano,970.8,Muy baja
LEC-0290,Est. Montaña,Otoño,973.6,Muy baja
LEC-0292,Est. Valle,Canícula,981.2,Muy baja
LEC-0293,Est. Istmo,Primavera,1024.7,Alta
LEC-0294,Est. Montaña,Verano,1037.9,Muy alta
LEC-0295,Est. Laguna,Transición Otoño-Invierno,993.6,Muy baja
LEC-0296,Est. Planicie,Invierno,991.0,Muy baja
LEC-0297,Est. Laguna,Temporada de lluvias,975.6,Muy baja
LEC-0298,Est. Manglar,Invierno,966.2,Muy baja
LEC-0299,Est. Centro,Otoño,989.8,Muy baja
LEC-0300,Est. Istmo,Transición Primavera-Verano,1005.1,Baja
LEC-0301,Est. Istmo,Verano,994.9,Muy baja
LEC-0303,Est. Planicie,Transición Primavera-Verano,1033.7,Muy alta
LEC-0304,Est. Montaña,Otoño,1002.7,Baja
LEC-0305,Est. Norte,Transición Otoño-Invierno,1022.9,Alta
LEC-0306,Est. Meseta,Invierno,1015.0,Normal
LEC-0307,Est. Istmo,Primavera,965.7,Muy baja
LEC-0308,Est. Manglar,Canícula,981.7,Muy baja
LEC-0309,Est. Pradera,Otoño,1018.3,Normal
LEC-0310,Est. Costa,Transición Otoño-Invierno,1011.9,Normal
LEC-0311,Est. Oriente,Temporada de lluvias,1000.3,Baja
LEC-0312,Est. Planicie,Primavera,983.6,Muy baja
LEC-0314,Est. Poniente,Canícula,1007.5,Baja
LEC-0315,Est. Norte,Transición Otoño-Invierno,1045.7,Muy alta
LEC-0316,Est. Bosque,Invierno,985.1,Muy baja
LEC-0317,Est. Meseta,Temporada de lluvias,977.9,Muy baja
LEC-0318,Est. Desierto,Verano,973.0,Muy baja
LEC-0319,Est. Bosque,Otoño,1046.5,Muy alta
LEC-0320,Est. Norte,Primavera,984.9,Muy baja
LEC-0321,Est. Istmo,Transición Primavera-Verano,1022.9,Alta
LEC-0322,Est. Meseta,Verano,1015.9,Normal
LEC-0323,Est. Bosque,Canícula,966.9,Muy baja
LEC-0325,Est. Volcán,Verano,1031.5,Alta
LEC-0326,Est. Planicie,Primavera,1048.1,Muy alta
LEC-0328,Est. Volcán,Otoño,1007.0,Baja
LEC-0329,Est. Desierto,Temporada de lluvias,981.0,Muy baja
LEC-0330,Est. Selva,Canícula,1047.8,Muy alta
LEC-0332,Est. Laguna,Transición Otoño-Invierno,1044.9,Muy alta
LEC-0333,Est. Manglar,Invierno,969.9,Muy baja
LEC-0334,Est. Altiplano,Primavera,1006.0,Baja
LEC-0335,Est. Bahía,Canícula,1006.3,Baja
LEC-0336,Est. Manglar,Otoño,969.5,Muy baja
LEC-0338,Est. Valle,Transición Otoño-Invierno,1014.8,Normal
LEC-0339,Est. Planicie,Temporada de lluvias,1009.7,Baja
LEC-0340,Est. Istmo,Temporada de lluvias,1024.4,Alta
LEC-0341,Est. Cañón,Temporada de lluvias,1015.2,Normal
LEC-0344,Est. Selva,Invierno,1024.0,Alta
LEC-0345,Est. Istmo,Canícula,999.7,Baja
LEC-0346,Est. Desierto,Otoño,1040.3,Muy alta
LEC-0347,Est. Bosque,Primavera,1009.1,Baja
LEC-0348,Est. Bosque,Canícula,976.4,Muy baja
LEC-0349,Est. Río,Canícula,979.3,Muy baja
LEC-0350,Est. Sur,Otoño,1015.3,Normal
LEC-0351,Est. Cañón,Invierno,1021.0,Normal
LEC-0352,Est. Volcán,Transición Primavera-Verano,1027.4,Alta
LEC-0353,Est. Pradera,Primavera,990.9,Muy baja
LEC-0354,Est. Península,Transición Otoño-Invierno,967.8,Muy baja
LEC-0355,Est. Meseta,Primavera,971.6,Muy baja
LEC-0356,Est. Laguna,Transición Otoño-Invierno,999.9,Baja
LEC-0357,Est. Istmo,Verano,992.2,Muy baja
LEC-0358,Est. Laguna,Invierno,1032.1,Muy alta
LEC-0359,Est. Altiplano,Temporada de lluvias,986.1,Muy baja
LEC-0360,Est. Oriente,Transición Primavera-Verano,1026.9,Alta
LEC-0361,Est. Meseta,Invierno,1031.9,Alta
LEC-0362,Est. Volcán,Temporada de lluvias,966.0,Muy baja
LEC-0363,Est. Sur,Invierno,1044.8,Muy alta
LEC-0364,Est. Sur,Transición Otoño-Invierno,1009.1,Baja
LEC-0365,Est. Península,Transición Otoño-Invierno,1015.9,Normal
LEC-0366,Est. Río,Transición Primavera-Verano,976.0,Muy baja
LEC-0368,Est. Norte,Temporada de lluvias,968.8,Muy baja
LEC-0369,Est. Manglar,Transición Otoño-Invierno,1011.3,Normal
LEC-0370,Est. Manglar,Invierno,1049.4,Muy alta
LEC-0371,Est. Planicie,Transición Primavera-Verano,968.8,Muy baja
LEC-0372,Est. Planicie,Temporada de lluvias,1022.0,Alta
LEC-0373,Est. Sur,Transición Primavera-Verano,1037.2,Muy alta
LEC-0374,Est. Sur,Primavera,1021.0,Normal
LEC-0375,Est. Costa,Transición Primavera-Verano,1023.4,Alta
LEC-0376,Est. Meseta,Transición Otoño-Invierno,1045.0,Muy alta
LEC-0377,Est. Istmo,Transición Otoño-Invierno,1004.3,Baja
LEC-0378,Est. Desierto,Invierno,966.0,Muy baja
LEC-0379,Est. Norte,Otoño,1025.1,Alta
LEC-0380,Est. Montaña,Canícula,1036.6,Muy alta
LEC-0382,Est. Oriente,Verano,1012.5,Normal
LEC-0383,Est. Istmo,Canícula,991.9,Muy baja
LEC-0385,Est. Meseta,Canícula,1016.7,Normal
LEC-0386,Est. Manglar,Temporada de lluvias,1002.4,Baja
LEC-0387,Est. Cañón,Temporada de lluvias,1049.1,Muy alta
LEC-0388,Est. Costa,Primavera,1029.7,Alta
LEC-0389,Est. Río,Transición Otoño-Invierno,967.5,Muy baja
LEC-0390,Est. Altiplano,Otoño,1024.4,Alta
LEC-0391,Est. Norte,Temporada de lluvias,995.9,Muy baja
LEC-0392,Est. Valle,Transición Primavera-Verano,973.6,Muy baja
LEC-0393,Est. Manglar,Temporada de lluvias,1025.4,Alta
LEC-0394,Est. Planicie,Verano,995.2,Muy baja
LEC-0395,Est. Montaña,Invierno,984.4,Muy baja
LEC-0397,Est. Istmo,Transición Otoño-Invierno,968.2,Muy baja
LEC-0398,Est. Península,Transición Otoño-Invierno,1032.4,Muy alta
LEC-0399,Est. Bahía,Primavera,1016.9,Normal
LEC-0400,Est. Montaña,Canícula,1048.9,Muy alta
LEC-0401,Est. Istmo,Transición Primavera-Verano,1006.4,Baja
LEC-0402,Est. Península,Primavera,1048.6,Muy alta
LEC-0403,Est. Centro,Temporada de lluvias,991.8,Muy baja
LEC-0404,Est. Bosque,Canícula,1022.5,Alta
LEC-0407,Est. Desierto,Primavera,977.3,Muy baja
LEC-0408,Est. Valle,Verano,983.1,Muy baja
LEC-0409,Est. Bahía,Temporada de lluvias,967.6,Muy baja
LEC-0410,Est. Laguna,Primavera,1042.6,Muy alta
LEC-0412,Est. Centro,Transición Otoño-Invierno,969.2,Muy baja
LEC-0413,Est. Centro,Canícula,1036.9,Muy alta
LEC-0414,Est. Poniente,Transición Primavera-Verano,1047.6,Muy alta
LEC-0415,Est. Laguna,Temporada de lluvias,1042.0,Muy alta
LEC-0416,Est. Montaña,Otoño,1015.9,Normal
LEC-0417,Est. Volcán,Transición Primavera-Verano,1026.4,Alta
LEC-0418,Est. Pradera,Primavera,1017.3,Normal
LEC-0419,Est. Pradera,Primavera,969.1,Muy baja
LEC-0420,Est. Norte,Verano,1039.6,Muy alta
LEC-0421,Est. Norte,Temporada de lluvias,1049.0,Muy alta
LEC-0422,Est. Altiplano,Invierno,1036.3,Muy alta
LEC-0425,Est. Costa,Canícula,982.8,Muy baja
LEC-0426,Est. Laguna,Temporada de lluvias,1006.7,Baja
LEC-0427,Est. Manglar,Transición Otoño-Invierno,1041.4,Muy alta
LEC-0428,Est. Selva,Otoño,1041.9,Muy alta
LEC-0429,Est. Norte,Canícula,981.7,Muy baja
LEC-0430,Est. Oriente,Otoño,1031.7,Alta
LEC-0431,Est. Pradera,Transición Otoño-Invierno,980.7,Muy baja
LEC-0432,Est. Oriente,Verano,1000.0,Baja
LEC-0433,Est. Pradera,Transición Otoño-Invierno,993.9,Muy baja
LEC-0434,Est. Oriente,Invierno,1023.2,Alta
LEC-0435,Est. Manglar,Transición Primavera-Verano,1042.7,Muy alta
LEC-0436,Est. Bosque,Temporada de lluvias,1038.9,Muy alta
LEC-0437,Est. Norte,Verano,1032.8,Muy alta
LEC-0438,Est. Bahía,Canícula,993.5,Muy baja
LEC-0439,Est. Bosque,Otoño,1010.4,Normal
LEC-0440,Est. Poniente,Otoño,1003.4,Baja
LEC-0441,Est. Pradera,Transición Primavera-Verano,1014.6,Normal
LEC-0442,Est. Bosque,Verano,977.7,Muy baja
LEC-0443,Est. Volcán,Transición Primavera-Verano,1021.0,Normal
LEC-0444,Est. Desierto,Transición Otoño-Invierno,988.5,Muy baja
LEC-0445,Est. Desierto,Transición Otoño-Invierno,985.4,Muy baja
LEC-0446,Est. Montaña,Transición Otoño-Invierno,1013.2,Normal
LEC-0447,Est. Altiplano,Invierno,973.5,Muy baja
LEC-0448,Est. Centro,Transición Otoño-Invierno,1008.8,Baja
LEC-0449,Est. Manglar,Temporada de lluvias,990.2,Muy baja
LEC-0450,Est. Península,Transición Primavera-Verano,1014.1,Normal
LEC-0451,Est. Cañón,Canícula,1044.4,Muy alta
LEC-0452,Est. Planicie,Canícula,1010.5,Normal
LEC-0453,Est. Volcán,Canícula,990.9,Muy baja
LEC-0454,Est. Sur,Verano,1043.7,Muy alta
LEC-0455,Est. Valle,Invierno,1006.1,Baja
LEC-0456,Est. Poniente,Transición Otoño-Invierno,1027.5,Alta
LEC-0457,Est. Pradera,Canícula,1012.9,Normal
LEC-0458,Est. Cañón,Otoño,1016.3,Normal
LEC-0459,Est. Meseta,Otoño,984.1,Muy baja
LEC-0460,Est. Bahía,Verano,1021.7,Alta
LEC-0461,Est. Pradera,Transición Otoño-Invierno,1008.8,Baja
LEC-0462,Est. Centro,Primavera,1038.6,Muy alta
LEC-0463,Est. Laguna,Invierno,987.1,Muy baja
LEC-0464,Est. Sierra,Invierno,1043.7,Muy alta
LEC-0465,Est. Centro,Verano,978.7,Muy baja
LEC-0466,Est. Norte,Otoño,968.2,Muy baja
LEC-0467,Est. Bahía,Temporada de lluvias,993.2,Muy baja
LEC-0468,Est. Desierto,Verano,1004.4,Baja
LEC-0469,Est. Península,Canícula,1047.1,Muy alta
LEC-0470,Est. Desierto,Temporada de lluvias,986.1,Muy baja
LEC-0471,Est. Planicie,Invierno,974.2,Muy baja
LEC-0472,Est. Laguna,Temporada de lluvias,1015.9,Normal
LEC-0473,Est. Selva,Primavera,976.2,Muy baja
LEC-0474,Est. Valle,Temporada de lluvias,1028.1,Alta
LEC-0475,Est. Valle,Verano,1021.1,Alta
LEC-0476,Est. Península,Primavera,972.6,Muy baja
LEC-0477,Est. Río,Otoño,981.4,Muy baja
